asin,name,department,price,availability,rating,number_of_ratings,product_description,link_to_all_reviews,image_link
B09H1CL5W4,"Marvel Legends Series X-Men Havok Action Figure 6-inch Collectible Toy, 3 Accessories and 2 Build-A-Figure Parts",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"Alex Summers aka Havok fires super-heated plasma from his hands to devastating effect. A veteran hero and leader, he longs to step out of his older brother Cyclops’ shadow. With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability.",NA,https://images-na.ssl-images-amazon.com/images/I/71tg1g-vdYL.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1TCQ8R,"Marvel Legends Series X-Men Siryn Action Figure 6-inch Collectible Toy, 2 Accessories and 1 Build-A-Figure Part",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"Inheriting her mutant sonic scream from her father Banshee and raised by her criminal uncle, Black Tom Cassidy, Theresa Cassidy forges her own heroic path with X-Factor as Siryn! With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability.",NA,https://images-na.ssl-images-amazon.com/images/I/61HI22FHhcL.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1M1WBN,"Marvel Legends Series X-Men Wolverine Return of Wolverine Action Figure 6-Inch Collectible Toy, 1 Accessory",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"Suddenly resurrected and bearing super-heated adamantium claws, once again Wolverine must fight to reclaim his freedom, and his mind. With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability.",NA,https://images-na.ssl-images-amazon.com/images/I/610UejeBNNL.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1KSSNR,"Marvel Legends Series X-Men Maggott Action Figure 6-Inch Collectible Toy, 2 Accessories and 2 Build-A-Figure Parts",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"Maggott’s mutant power is his two giant slugs, Eanie and Meanie, that serve as his digestive system. With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability. Copyright 2022 MARVEL. Hasbro and all related terms are trademarks of Hasbro.",NA,https://images-na.ssl-images-amazon.com/images/I/71owdigSs9L.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1L94FH,"Marvel Legends Series X-Men Sabretooth Action Figure 6-Inch Collectible Toy, 3 Build-A-Figure Part",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"With keen senses, a mutant healing factor, and zero moral restraint, Sabretooth is a dark reflection of his archnemesis, the mutant hero Wolverine. With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability. Copyright 2022 MARVEL. Hasbro and all related terms are trademarks of Hasbro.",NA,https://images-na.ssl-images-amazon.com/images/I/71brfV7QZcL.__AC_SY300_SX300_QL70_ML2_.jpg
B09H1PM8VY,"Marvel Legends Series X-Men Vulcan Action Figure 6-inch Collectible Toy, 2 Accessories and 1 Build-A-Figure Part",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"Vulcan sets his sights on total galactic conquest. Standing in his way are the X-Men, the Inhumans, the Kree…and his brother Havok! With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability. Copyright 2022 MARVEL. Hasbro and all related terms are trademarks of Hasbro.",NA,https://images-na.ssl-images-amazon.com/images/I/61QmCeUhLvL.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1MLMJX,"Marvel Legends Series X-Men Darwin Action Figure 6-Inch Collectible Toy, 2 Accessories and 1 Build-A-Figure Part",Toys & Games,$24.99 ,"This item will be released on November 1, 2022.",NA,NA,"True to his name, Darwin has the power to adapt against any threat, be it searing volcanic heat or the cold vacuum of space! With over 80 years of entertainment history, Marvel has become a cornerstone of fan collections around the world. With the Marvel Legends Series, fan favorite Marvel Comic Universe and Marvel Cinematic Universe characters are designed with premium detail and articulation for posing and display in collections. From figures to vehicles to premium roleplay items, the Marvel Legends Series offers elite character-inspired product for Marvel fans and collectors. Additional figures each sold separately. Subject to availability. Copyright 2022 MARVEL. Hasbro and all related terms are trademarks of Hasbro.",NA,https://images-na.ssl-images-amazon.com/images/I/61sbpFW1E1L.__AC_SX300_SY300_QL70_ML2_.jpg
B09H1HFTVG,Star Wars The Vintage Collection Din Djarin (Morak) Toy 3.75-Inch-Scale The Mandalorian Action Figure Toys for Kids Ages 4 and Up,Toys & Games,$14.99 ,"This item will be released on November 1, 2022.",NA,NA,"The Mandalorian, known to a few as Din Djarin, is a battle-worn bounty hunter, making his way through a dangerous galaxy in an uncertain age",NA,https://images-na.ssl-images-amazon.com/images/I/61yVKe7Ro9L.__AC_SX300_SY300_QL70_ML2_.jpg
B07MYTBV6N,"TEMI Dinosaur Toy w/ Activity Play Mat & Trees, Educational Realistic Dinosaur Figure Playset to Create a Dino World Including T-Rex, Triceratops, Velociraptor, for Kids, Boys & Girls",Toys & Games,$29.99 ,In Stock.,4.4,"29,904",NA,/TEMI-Educational-Realistic-Triceratops-Velociraptor/product-reviews/B07MYTBV6N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://images-na.ssl-images-amazon.com/images/I/81CuTrcBlyL.__AC_SX300_SY300_QL70_ML2_.jpg
B07T9CCRK6,"Spider-Man Marvel Titan Hero Series 12""-Scale Super Hero Action Figure Toy with Titan Hero Fx Port",Toys & Games,$15.99 ,In Stock,4.7,"2,775","Imagine swinging into the newest Spider-Man Adventure with Spider-Man figures, vehicles, and role-play items inspired by the Marvel Comics. With this classic inspired line of toys, kids can imagine the web-slinging, wall-crawling action as Spider-Man faces new challenges and new villains. Products each sold separately. Subject to availability. imagine the web-slinging hero swinging through the city with this Spider-Man figure from the Titan hero series! When kids connect the Titan hero blast gear launcher (not included; sold separately with Titan hero blast gear figures) to this figure's arm port, they can activate sound effects and launch projectiles! titan hero blast gear launcher sold with Titan hero blast gear figures. Each sold separately. Subject to availability. copyright 2019 Marvel. Copyright 2019 cpii.",/Spider-Man-Marvel-Scale-Action-Figure/product-reviews/B07T9CCRK6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://images-na.ssl-images-amazon.com/images/I/71N253Vb8mL.__AC_SX300_SY300_QL70_ML2_.jpg
B083MDBGBV,Funko Pop! Moment Star Wars: The Mandalorian - Mandalorian and The Child Vinyl Bobblehead,Toys & Games,$28.95 ,In Stock,4.9,"5,981",Celebrate the most stellar fandom of them all and the bounty hunting escapades of The Mandalorian™ with a Pop! Moment of the Mandalorian and the Child. Vinyl figure stands approximately 4.5-inches tall and 8-inches long.,/Funko-Pop-Moment-Star-Wars/product-reviews/B083MDBGBV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://images-na.ssl-images-amazon.com/images/I/81bpCNtUuHS.__AC_SY300_SX300_QL70_ML2_.jpg
B08YKCTGGZ,Funko Pop! Town: Walt Disney World 50th - Cinderella Castle with Mickey Mouse,Toys & Games,$28.99 ,In Stock.,4,9,Commemorate 50 years of magic and wonder at Walt Disney World Resort with Pop! Town Cinderella Castle and Mickey Mouse. Vinyl figures are approximately 4-inches and 8.15-inches tall.,NA,https://images-na.ssl-images-amazon.com/images/I/61FpFKiy7mL.__AC_SX300_SY300_QL70_ML2_.jpg
B07H9GY33H,Dig a Dozen Dino Egg Dig Kit - Easter Egg Dinosaur Toys for Kids - Dig up 12 Eggs & Discover Surprise Dinosaurs. Science STEM Activities - Educational Gifts for Boys & Girls Age 3-5 5-7 8-12 Year Old,Toys & Games,$22.99 ,In Stock.,4.7,"12,591",t’s time to discover dinosaurs!,/Dino-Egg-Dig-Kit-Archaeology/product-reviews/B07H9GY33H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://images-na.ssl-images-amazon.com/images/I/81g9WNpy61L.__AC_SX300_SY300_QL70_ML2_.jpg
B08WCWGR8T,"POP Funko Star Wars: The Mandalorian - Mandalorian (Din Djarrin) Holding The Child (Grogu), Multicolor (54525)",Toys & Games,$12.99 ,In Stock,4.9,"3,098","From The Mandalorian, Mandalorian (Din Djarrin) Holding The Child (Grogu), as a stylized Pop! vinyl from Funko! Figure stands 3 3/4 inches and comes in a window display box. Check out the other The Mandalorian figures from Funko! Collect them all!",/Funko-Pop-Star-Wars-Mandalorian/product-reviews/B08WCWGR8T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,https://images-na.ssl-images-amazon.com/images/I/5176rALHhgS.__AC_SX300_SY300_QL70_ML2_.jpg
B096BM9KVF,"Just Play Disney Doorables The Haunted Mansion Collection Peek, Includes 12 Exclusive Mini Figures, Styles May Vary",Toys & Games,$22.16 ,In Stock,NA,NA,"Behind every door a surprise is in store with the Disney Doorables The Haunted Mansion Collection Peek. Featuring signature Doorables stylized detailing and sparkly glitter eyes, each iconic Disney figure stands approximately 1.5 inches tall and portrays a look inspired by The Haunted Mansion ride at Disney Parks! Discover the ultimate unboxing experience with a fresh packaging design featuring peel and reveal secrets. The Haunted Mansion Collection Peek features 12 of the ride’s classic characters including Opera Singer, Bride, Mummy, Gus, Ezra, Phineas, Rolo Rumkin, Ned Nub, Cousin Algernon, Butler, Maid, and Groundskeeper. Some collectors may even find the rare mystery figure! Ideal for collecting and trading. Recreate the world of Disney with all the Disney Doorables collectible figures and playsets. Ages 5+",NA,https://images-na.ssl-images-amazon.com/images/I/81tqWnt6qhL.__AC_SX300_SY300_QL70_ML2_.jpg
